postal_code,population,avg_income_per_taxpayer,municipality_name,canton_code,aldi_count,coop_count,denner_count,lidl_count,migros_count,external_competitor_count,migros_group_count,postcode_latitude,postcode_longitude,locality_name,complete_location_data,has_migros,population_per_migros,primary_canton
3433,485,57036.770752204,"Hasle bei Burgdorf, Lützelflüh, Rüderswil",BE,0,0,0,0,0,0,0,46.98069474187282,7.686752950073616,Schwanden im Emmental,True,False,485.0,BE
3434,649,51793.61255852466,"Landiswil, Lauperswil, Lützelflüh",BE,0,0,0,0,0,0,0,46.95820614321732,7.68070302434044,Obergoldbach,True,False,649.0,BE
3435,266,57804.21532258065,Lützelflüh,BE,0,0,0,0,0,0,0,46.99838547605796,7.709356502270706,Ramsei,True,False,266.0,BE
3436,2758,55312.23857627822,"Lauperswil, Rüderswil",BE,0,0,0,0,0,0,0,46.97301807640018,7.74718805420224,Zollbrück,True,False,2758.0,BE
3437,551,56795.892679459845,Rüderswil,BE,0,0,0,0,0,0,0,46.98384006654168,7.720679408660197,Rüderswil,True,False,551.0,BE
3438,535,54797.27340182849,"Lauperswil, Rüderswil",BE,0,0,0,0,0,0,0,46.96296777635402,7.727323492025572,Lauperswil,True,False,535.0,BE
3439,549,57316.86273948107,"Lützelflüh, Rüderswil",BE,0,0,0,0,0,0,0,46.9881551525346,7.744554092374869,Ranflüh,True,False,549.0,BE
3452,798,57804.21532258065,Lützelflüh,BE,0,0,0,0,0,0,0,47.00984338199879,7.724997597130652,Grünenmatt,True,False,798.0,BE
3453,859,53860.148785358426,"Lützelflüh, Rüderswil, Trachselwald",BE,0,0,0,0,0,0,0,47.00247191009448,7.765824311100391,Heimisbach,True,False,859.0,BE
3454,2745,54341.127645706336,"Lützelflüh, Rüegsau, Sumiswald",BE,0,0,0,0,0,0,0,47.03722725112629,7.729506399870647,Sumiswald,True,False,2745.0,BE
3455,609,54018.99966021066,Sumiswald,BE,0,1,0,0,0,1,0,47.02448614511056,7.739597782354089,Grünen,True,False,609.0,BE
3456,130,54733.08305499194,"Lützelflüh, Trachselwald",BE,0,0,0,0,0,0,0,47.01620387858539,7.738729447276329,Trachselwald,True,False,130.0,BE
3457,1807,54015.38206771471,"Sumiswald, Wyssachen",BE,0,0,0,0,0,0,0,47.049139786376,7.81065656630228,Wasen im Emmental,True,False,1807.0,BE
3462,523,53727.61696528655,"Affoltern im Emmental, Sumiswald",BE,0,0,0,0,0,0,0,47.06028045331624,7.7615562617103375,Weier im Emmental,True,False,523.0,BE
3463,340,53050.026827131216,"Affoltern im Emmental, Dürrenroth, Walterswil (BE)",BE,0,0,0,0,0,0,0,47.08401005985326,7.756037303397115,Häusernmoos im Emmental,True,False,340.0,BE
3464,334,55206.2525826296,"Affoltern im Emmental, Dürrenroth, Walterswil (BE), Wynigen",BE,0,0,0,0,0,0,0,47.09120980222064,7.742704198948488,Schmidigen-Mühleweg,True,False,334.0,BE
3465,887,52379.99666666667,Dürrenroth,BE,0,0,0,0,0,0,0,47.0863121036076,7.789408441511175,Dürrenroth,True,False,887.0,BE
3472,1766,60217.339679582525,"Burgdorf, Ersigen, Heimiswil, Rumendingen, Wynigen",BE,0,0,0,0,0,0,0,47.09663458148263,7.661560984902903,Wynigen,True,False,1766.0,BE
3473,630,60722.45027624309,Alchenstorf,BE,0,0,0,0,0,0,0,47.12391423949369,7.6370852740694914,Alchenstorf,True,False,630.0,BE
3474,388,61110.50453932266,"Seeberg, Wynigen",BE,0,0,0,0,0,0,0,47.127540676912574,7.697572570631152,Rüedisbach,True,False,388.0,BE
3475,334,60239.64756756756,Seeberg,BE,0,0,0,0,0,0,0,47.14742529135661,7.696937033911872,Riedtwil,True,False,334.0,BE
3476,380,54844.023712398215,"Ochlenberg, Seeberg, Thörigen",BE,0,0,0,0,0,0,0,47.14293101434432,7.7199250392773,Oschwand,True,False,380.0,BE
3503,397,65189.537593984955,Konolfingen,BE,0,0,0,0,0,0,0,46.89340268174095,7.592121837111352,Gysenstein,True,False,397.0,BE
3504,1000,58815.341419732984,"Niederhünigen, Oberhünigen",BE,0,0,0,0,0,0,0,46.877660714529206,7.648853009615886,Niederhünigen,True,False,1000.0,BE
3506,3652,66745.03844372554,"Grosshöchstetten, Mirchel, Oberthal, Zäziwil",BE,0,1,0,0,0,1,0,46.904698438907154,7.643983950612763,Grosshöchstetten,True,False,3652.0,BE
3507,2029,63342.234227742134,"Arni (BE), Biglen",BE,0,1,0,0,0,1,0,46.932946418949015,7.629719737335865,Biglen,True,False,2029.0,BE
3508,873,57744.51958374213,"Arni (BE), Landiswil, Oberthal",BE,0,0,0,0,0,0,0,46.93413772646428,7.66372537425985,Arni BE,True,False,873.0,BE
3510,5805,66037.98278852658,"Freimettigen, Häutligen, Konolfingen, Wichtrach",BE,0,1,2,0,1,1,3,46.86412661573823,7.614385026545201,Konolfingen,True,True,5805.0,BE
3512,1230,57306.94900849858,Walkringen,BE,0,0,0,0,0,0,0,46.94624226254789,7.616072509742473,Walkringen,True,False,1230.0,BE
3513,593,57433.371203045775,"Hasle bei Burgdorf, Vechigen, Walkringen",BE,0,0,0,0,0,0,0,46.97401869024674,7.620233266316277,Bigenthal,True,False,593.0,BE
3531,609,57582.0150297523,"Bowil, Oberthal, Zäziwil",BE,0,0,0,0,0,0,0,46.91058829015192,7.678836704846412,Oberthal,True,False,609.0,BE
3532,2211,62536.99396001366,"Mirchel, Oberhünigen, Zäziwil",BE,0,0,0,0,0,0,0,46.88948793193108,7.661533681086922,Zäziwil,True,False,2211.0,BE
3533,1190,55961.71497719442,"Bowil, Oberhünigen, Röthenbach im Emmental, Zäziwil",BE,0,0,0,0,0,0,0,46.88478266640651,7.6971265124726465,Bowil,True,False,1190.0,BE
3534,1783,53602.69220355703,"Bowil, Signau",BE,0,1,0,0,0,1,0,46.910196624769526,7.724068371456584,Signau,True,False,1783.0,BE
3535,991,53407.701707294334,"Langnau im Emmental, Signau",BE,0,0,0,0,0,0,0,46.93036588622829,7.749268740394649,Schüpbach,True,False,991.0,BE
3536,555,51622.09396485867,Eggiwil,BE,0,0,0,0,0,0,0,46.904367303424046,7.774101606578002,Aeschau,True,False,555.0,BE
3537,1836,51616.73891382475,"Eggiwil, Röthenbach im Emmental, Trub, Trubschachen",BE,0,0,0,0,0,0,0,46.867366319587006,7.82196359687843,Eggiwil,True,False,1836.0,BE
3538,916,52558.46320635404,"Bowil, Linden, Röthenbach im Emmental",BE,0,0,0,0,0,0,0,46.86431183001039,7.721256272446658,Röthenbach im Emmental,True,False,916.0,BE
3543,512,54534.449598069084,"Langnau im Emmental, Lauperswil, Signau",BE,0,0,0,0,0,0,0,46.9481910442693,7.747814747930161,Emmenmatt,True,False,512.0,BE
3550,7544,55867.58749601499,"Eggiwil, Langnau im Emmental, Lauperswil",BE,1,1,0,0,1,2,1,46.93434132505447,7.779261303284347,Langnau im Emmental,True,True,7544.0,BE
3551,322,55820.81139919754,"Langnau im Emmental, Lauperswil, Trachselwald",BE,0,0,0,0,0,0,0,46.98288430832705,7.797695144124209,Oberfrittenbach,True,False,322.0,BE
3552,1357,55883.51490013016,"Langnau im Emmental, Trub",BE,0,0,0,0,0,0,0,46.94166705420385,7.827706100983848,Bärau,True,False,1357.0,BE
3553,494,55930.852941176476,Langnau im Emmental,BE,0,0,0,0,0,0,0,46.96561154986874,7.816149657263095,Gohl,True,False,494.0,BE
3555,1741,49639.17261638323,"Escholzmatt-Marbach, Langnau im Emmental, Trub, Trubschachen","BE, LU",0,0,0,0,0,0,0,46.91166447771239,7.853965684679592,Trubschachen,True,False,1741.0,BE
3556,790,48591.25366888456,"Trub, Trubschachen",BE,0,0,0,0,0,0,0,46.94196442300307,7.863189666450409,Trub,True,False,790.0,BE
3557,288,48580.22544951591,Trub,BE,0,0,0,0,0,0,0,46.97222143003771,7.917832332800686,Fankhaus (Trub),True,False,288.0,BE
3600,17943,61778.07886097317,"Hilterfingen, Thun",BE,1,5,2,1,1,7,3,46.75140359905512,7.632421512783376,Thun,True,True,17943.0,BE
3603,2907,61773.42893145337,"Thun, Uetendorf",BE,0,1,0,0,0,1,0,46.76814292010708,7.601027996632276,Thun,True,False,2907.0,BE
3604,15610,61771.26475440569,Thun,BE,0,1,1,0,2,1,3,46.74061166075019,7.619939621294768,Thun,True,True,7805.0,BE
3608,2367,61771.26475440569,Thun,BE,0,1,1,0,1,1,2,46.74209683482778,7.594860232593963,Thun,True,True,2367.0,BE
3612,11594,64298.63273426876,"Fahrni, Steffisburg, Thun",BE,0,1,1,0,1,1,2,46.7761029152722,7.642265476986826,Steffisburg,True,True,11594.0,BE
3613,5404,64138.74460993227,"Heimberg, Steffisburg",BE,0,0,1,0,0,0,1,46.77119827848645,7.612723331792848,Steffisburg,True,False,5404.0,BE
3614,813,58725.865230390176,"Buchholterberg, Unterlangenegg",BE,0,0,0,0,0,0,0,46.800828258353626,7.690714726520392,Unterlangenegg,True,False,813.0,BE
3615,1547,59721.90156303689,"Buchholterberg, Linden, Röthenbach im Emmental",BE,0,0,0,0,0,0,0,46.83105379584445,7.693895628042359,Heimenschwand,True,False,1547.0,BE
3616,706,56515.26168406288,"Eriz, Oberlangenegg, Unterlangenegg",BE,0,0,0,0,0,0,0,46.79242091155242,7.723687388602897,Schwarzenegg,True,False,706.0,BE
3617,842,65792.20269047844,"Fahrni, Steffisburg",BE,0,0,0,0,0,0,0,46.79289536264783,7.6573312907298,Fahrni b. Thun,True,False,842.0,BE
3618,608,52057.5804581462,"Buchholterberg, Eggiwil, Oberlangenegg, Röthenbach im Emmental, Wachseldorn",BE,0,0,0,0,0,0,0,46.81732817352782,7.757351177071996,Süderen,True,False,608.0,BE
3619,535,49996.1716779788,"Eriz, Horrenbach-Buchen, Sigriswil",BE,0,0,0,0,0,0,0,46.77589596424175,7.785275790410577,Eriz,True,False,535.0,BE
3622,499,57441.48717948718,Homberg,BE,0,0,0,0,0,0,0,46.77612472524278,7.679136404496695,Homberg b. Thun,True,False,499.0,BE
3623,383,46877.958302799394,"Horrenbach-Buchen, Sigriswil, Teuffenthal (BE)",BE,0,0,0,0,0,0,0,46.77467566863573,7.728379466703178,Teuffenthal b. Thun,True,False,383.0,BE
3624,1468,63037.189844870765,"Steffisburg, Thun",BE,0,0,0,0,0,0,0,46.76712954586156,7.663491392768281,Goldiwil (Thun),True,False,1468.0,BE
3625,741,58733.19081605325,"Heiligenschwendi, Hilterfingen",BE,0,0,0,0,0,0,0,46.75067702995302,7.665471277336787,Heiligenschwendi,True,False,741.0,BE
3626,3000,74251.98234339255,"Hilterfingen, Thun",BE,0,1,1,0,1,1,2,46.74792304801332,7.64749179512709,Hünibach,True,True,3000.0,BE
3627,6500,63187.44058850715,"Heimberg, Steffisburg",BE,1,2,1,0,1,3,2,46.78929761791814,7.606357659107788,Heimberg,True,True,6500.0,BE
3628,2170,70095.53372189842,Uttigen,BE,0,0,0,0,0,0,0,46.79409474862035,7.577485267426155,Uttigen,True,False,2170.0,BE
3629,1951,68672.14525088284,"Jaberg, Kiesen, Kirchdorf (BE), Oppligen",BE,0,0,0,0,0,0,0,46.81673277257983,7.577851808705937,Kiesen,True,False,1951.0,BE
3631,451,59603.831783714166,"Stocken-Höfen, Uebeschi",BE,0,0,0,0,0,0,0,46.7258440749211,7.554895294486129,Höfen b. Thun,True,False,451.0,BE
3632,574,59588.62994836489,Stocken-Höfen,BE,0,0,0,0,0,0,0,46.71308331273711,7.567906624788286,Niederstocken,True,False,574.0,BE
3633,867,65367.05136374616,"Amsoldingen, Thierachern",BE,0,0,0,0,0,0,0,46.73118317186496,7.582766643854784,Amsoldingen,True,False,867.0,BE
3634,2545,67133.88157894737,Thierachern,BE,0,0,0,0,0,0,0,46.75471332831328,7.577044186062504,Thierachern,True,False,2545.0,BE
3635,700,60248.83464064234,"Thierachern, Uebeschi",BE,0,0,0,0,0,0,0,46.74477697572076,7.548687617760301,Uebeschi,True,False,700.0,BE
3636,765,63290.05546994059,"Forst-Längenbühl, Thierachern",BE,0,0,0,0,0,0,0,46.75894428062342,7.537370878910599,Längenbühl,True,False,765.0,BE
3638,1530,57155.21138545954,"Blumenstein, Pohlern",BE,0,0,0,0,0,0,0,46.73312882044448,7.526514049251682,Blumenstein,True,False,1530.0,BE
3645,4393,61541.64987700104,"Reutigen, Spiez, Thun",BE,0,0,0,1,0,1,0,46.71741279790034,7.623328225822822,Gwatt (Thun),True,False,4393.0,BE
3646,1262,65616.22857142857,Spiez,BE,0,0,0,0,0,0,0,46.710331104370034,7.642397069842743,Einigen,True,False,1262.0,BE
3647,1085,60505.01554404145,Reutigen,BE,0,0,0,0,0,0,0,46.69493964965192,7.621146594612411,Reutigen,True,False,1085.0,BE
3652,1801,78811.2016208583,"Hilterfingen, Oberhofen am Thunersee",BE,0,0,1,0,1,0,2,46.736033578383655,7.660490445819389,Hilterfingen,True,True,1801.0,BE
3653,2464,79654.16234652115,Oberhofen am Thunersee,BE,0,0,0,0,0,0,0,46.73194680934861,7.670985755407139,Oberhofen am Thunersee,True,False,2464.0,BE
3654,966,64239.97182796389,"Oberhofen am Thunersee, Sigriswil",BE,0,0,0,0,0,0,0,46.71607349324438,7.694466088488991,Gunten,True,False,966.0,BE
3655,1548,62988.01050135502,Sigriswil,BE,0,1,0,0,0,1,0,46.71644825724886,7.718866975269619,Sigriswil,True,False,1548.0,BE
3656,930,62988.01050135502,Sigriswil,BE,0,0,0,0,0,0,0,46.725859624428296,7.698909728013099,Tschingel ob Gunten,True,False,930.0,BE
3657,612,62988.01050135502,Sigriswil,BE,0,0,0,0,0,0,0,46.74006792041539,7.723542865685108,Schwanden (Sigriswil),True,False,612.0,BE
3658,922,62988.01050135502,Sigriswil,BE,0,0,0,0,0,0,0,46.70017567371609,7.736525636874416,Merligen,True,False,922.0,BE
3661,6072,63669.665673420735,Uetendorf,BE,0,1,1,0,1,1,2,46.77407545389222,7.581165512722864,Uetendorf,True,True,6072.0,BE
3662,2175,60704.52652414885,Seftigen,BE,0,0,0,0,0,0,0,46.78864683312943,7.539831941045842,Seftigen,True,False,2175.0,BE
3663,865,59451.15112605503,"Forst-Längenbühl, Gurzelen",BE,0,0,0,0,0,0,0,46.77494312680636,7.53000915986498,Gurzelen,True,False,865.0,BE
3664,1092,61202.65365430843,"Burgistein, Gurzelen, Riggisberg, Wattenwil",BE,0,0,0,0,0,0,0,46.78552830423686,7.507810232346288,Burgistein,True,False,1092.0,BE
3665,3218,58078.29863184346,"Burgistein, Forst-Längenbühl, Wattenwil",BE,0,1,1,0,0,1,1,46.772604521737584,7.507667013270786,Wattenwil,True,False,3218.0,BE
3671,1172,63843.10887849584,"Brenzikofen, Heimberg, Herbligen",BE,0,0,0,0,0,0,0,46.81695940350972,7.611782831959119,Brenzikofen,True,False,1172.0,BE
3672,3419,64961.95939611774,"Linden, Oberdiessbach",BE,0,1,0,0,0,1,0,46.83971864631326,7.638436524667621,Oberdiessbach,True,False,3419.0,BE
3673,1280,54668.51621937405,"Bowil, Linden, Oberhünigen",BE,0,0,0,0,0,0,0,46.85775339184348,7.685475583979499,Linden,True,False,1280.0,BE
3674,373,64819.171560583694,"Buchholterberg, Oberdiessbach",BE,0,0,0,0,0,0,0,46.81908672137448,7.6468369514015535,Bleiken b. Oberdiessbach,True,False,373.0,BE
3700,9432,65616.22857142857,Spiez,BE,0,1,1,1,1,2,2,46.685876491820856,7.6774416114102735,Spiez,True,True,9432.0,BE
3702,699,65590.65543275072,"Aeschi bei Spiez, Spiez",BE,0,0,0,0,0,0,0,46.670052791733056,7.6810671671222845,Hondrich,True,False,699.0,BE
3703,2125,60288.491346877345,Aeschi bei Spiez,BE,0,0,1,0,0,0,1,46.65043255116107,7.711940609293183,Aeschi b. Spiez,True,False,2125.0,BE
3704,1160,61278.15732672958,"Aeschi bei Spiez, Krattigen, Spiez",BE,0,0,0,0,0,0,0,46.6605687261446,7.718442761239086,Krattigen,True,False,1160.0,BE
3705,1271,65610.97681646391,"Krattigen, Spiez",BE,0,0,0,0,0,0,0,46.67057268591388,7.714240917089517,Faulensee,True,False,1271.0,BE
3706,1205,66308.33212816477,"Krattigen, Leissigen",BE,0,0,0,0,0,0,0,46.6554344016602,7.760840288089392,Leissigen,True,False,1205.0,BE
3707,423,57360.930735930735,Därligen,BE,0,0,0,0,0,0,0,46.66111099455245,7.806460327770553,Därligen,True,False,423.0,BE
3711,332,60209.639470990114,"Aeschi bei Spiez, Reichenbach im Kandertal, Wimmis",BE,0,0,0,0,0,0,0,46.64722831348499,7.6816956878408575,Emdthal,True,False,332.0,BE
3713,2503,59720.18539926131,"Frutigen, Reichenbach im Kandertal",BE,0,1,0,0,0,1,0,46.60887413509941,7.677105788416979,Reichenbach im Kandertal,True,False,2503.0,BE
